job_salary,job_name,job_overlook,job_tempt,job_location,job_descript,company_name,company_field,company_stage,company_size,company_website
8k-15k,python培训讲师+可应届+食宿,"
                    8k-15k 
                    /长沙 /
                    经验不限 /
                    大专及以上 /
                    全职
                ",一年多次晋升 专业团队 线上教育,"长沙 -
                    岳麓区
                                            - 潭州教育全球教学服务中心（芯城10栋）
                                                            查看地图","
        职位诱惑：
        一年多次晋升 专业团队 线上教育
    
        职位描述：
        
        岗位职责：
1.负责软件产品设计和文档编写
2.积极参与部门内训，保持技术先进性；
3.参与教学项目研发工作，配合完成市场调研，新产品研发。
4.挖掘学员需求、及时记录并反馈学员的用户画像。
任职要求：
1. 计算机相关专业，全日制统招本科及以上学历，四年以上互联网产品研发经验，英语优秀者优先；
2. 基础功扎实，掌握 python和常见开发框架fastapi/flask/django,熟悉框架后端API开发，熟悉PostgreSQL等常见关系型数据库，了解NO-SQL数据库；
3. 对前端技术掌握好，能基于bookstrip3和Element-UI 快速搭建站点
4. 熟练使用 selenium/appnium/pywin3/ 等自动化工具优先
5.熟悉scrapy框架, bs4/xpath/pyquery等数据解析方法优先
6. 掌握AI基础概念，了解常用机器学习和深度学习算法，了解TensorFlow/Caffe/PyTorch等人工智能技术框架，有AI应用开发或者AI平台架构经验者优先；
7. 具备分布式系统设计开发经验、服务器运维及水平扩展方面实战经验，能对分布式常用技术进行合理应用，解决问题；
8. 对缓存、消息队列、集群技术处理、负载均衡、系统性能调优、系统韧性等软件编程高级技术有一定的了解；
9. 优秀的分析问题和解决问题的能力，对解决具有挑战性的问题充满激情
10. 有很强的学习能力、压力承担能力及团队合作能力，有主动性和上进心；

        
    
                工作地址
        
                                                长沙 -
                    岳麓区
                                            - 潭州教育全球教学服务中心（芯城10栋）
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        张丹
                                                                
                                        
                    
                    
                    
                    
                
                 HRBP 
                
                刚刚活跃
                            
                                                
    ",潭州教育,教育,B轮,2000人以上,https://www.lagou.com/gon...
25k-40k,Python工程师(大数据方向）,"
                    25k-40k 
                    /上海 /
                    经验3-5年 /
                    本科及以上 /
                    全职
                ",六险一金，弹性工作，免费三餐,"上海 -
                    杨浦区
                                            - 黄兴路2218号合生汇17楼
                                                            查看地图","
        职位诱惑：
        六险一金，弹性工作，免费三餐
    
        职位描述：
        
        职位职责：
1、负责数据抽取、清洗、消重、数据结构化等工作；
2、设计和开发数据流、数据仓库、调度系统等；
3、打造业界领先的分布式计算，存储系统，解决大规模生产环境集群可用性和性能优化问题。

职位要求：
1、3年以上工作经验，精通python；
2、较强的系统设计和编码能力，追求优雅的设计和优秀的代码质量；
3、掌握分布式存储原理，精通HDFS, Hive, HBase, MongoDB, redis, Kafka中的一项或多项；
4、熟练掌握分布式计算，精通Spark, MapReduce, Storm, Flink中的一项或多项。
        
    
                工作地址
        
                                                上海 -
                    杨浦区
                                            - 黄兴路2218号合生汇17楼
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        王坚
                                                                
                                        
                    
                    
                    
                    
                
                 HR 
                
                本月活跃
                            
                                                
    ",字节跳动,文娱丨内容,C轮,2000人以上,http://www.bytedance.com
10k-20k,Python 工程师（数据平台方向）,"
                    10k-20k 
                    /深圳 /
                    经验1-3年 /
                    本科及以上 /
                    全职
                ",大数据人工智能；名校系大牛；技术氛围浓,"深圳 -
                    南山区 -
                    科技园
                                            - 科技园南科苑南路3099号中国储能大厦47楼
                                                            查看地图","
        职位诱惑：
        大数据人工智能；名校系大牛；技术氛围浓
    
        职位描述：
        
        ▪ 负责数据处理、报表开发；

▪ 负责常用业务逻辑的抽象、工具化；

▪ 参与公司数据平台维护和开发。


【技能要求】：

▪ 必须熟练使用 Python，有良好的编码习惯。熟悉 Pandas, 正则表达式、文件处理、并行编程；

▪ 必须熟练使用 SQL，至少熟悉一种常用数据库，包括但不限于 MySQL、Postgres、SQL Server、Oracle；

▪ 了解 Hive, Impala 等 Hadoop 大数据技术，有 Spark 经验尤佳；

▪ 熟悉 Web 后端开发优先；

▪ 熟练使用 Linux 操作系统；

▪ 良好的沟通、理解能力，工作细致、耐心、负责；

▪ 提供技术博客 / GitHub 账号，有开源贡献和优质技术文章优先。


【公司福利】：

▪ 有竞争力的薪酬：工资、一年一次调薪机会、五险一金、商业保险、季度奖金包、年终奖、节假日福利、生日礼物等。既有情怀，又有钱途；

▪ 合理的工作时间：我们有弹性工作时间制度，并追求使用技术去高效解决问题，不提倡加班；

▪ 团队活动：YiMBA 系列课程、每周的篮球和羽毛球运动，每周分享会，每月聚餐、生日会等。我们是一个有凝聚力的团队；

▪ 年度体检：豪华体检，健康强壮的身体是工作的基础；

▪ 零食饮料：不间断的供应丰富优质的零食饮料；

▪ 年度旅游：前脚去巴厘岛后脚去日本韩国，随着团队的壮大，以后能去的地方更丰富多彩；

▪ 舒适的工作环境：我们有一个漂亮的办公室，开放式的设计和十分开阔壮观的窗景



        
    
                工作地址
        
                                                深圳 -
                    南山区 -
                    科技园
                                            - 科技园南科苑南路3099号中国储能大厦47楼
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        蓝叔
                                                                
                                        
                    
                    
                    
                    
                
                 HR 
                
                刚刚活跃
                            
                                                
    ",一面数据,"移动互联网,数据服务",A轮,50-150人,https://www.yimian.com.cn
10k-20k,Python 工程师（产品研发）,"
                    10k-20k 
                    /深圳 /
                    经验1-3年 /
                    本科及以上 /
                    全职
                ",大数据人工智能；名校系大牛；技术氛围浓,"深圳 -
                    南山区 -
                    科技园
                                            - 科技园南科苑南路3099号中国储能大厦47楼
                                                            查看地图","
        职位诱惑：
        大数据人工智能；名校系大牛；技术氛围浓
    
        职位描述：
        
        ▪ 产品的需求调研、技术方案制定以及设计报告的撰写；

▪ 产品后端数据模型以及接口开发；

▪ 产品维护。


【任职要求】：

▪ 精通 Python，有良好的编码习惯；

▪ 有独立项目开发经验，开发过完整的产品；

▪ 熟练掌握至少一门 Python Web 开发框架（Flask 优先，Django、Tornado 等）；

▪ 熟悉 Redis、MySQL、MongoDB 等常用数据库，具备相关使用经验；

▪ 熟悉 Javascript，了解 HTML、CSS，具备一定前端开发能力

▪ 熟练使用 Linux 操作系统；

▪ 有较强的学习能力、团队协作意识，有良好的沟通、需求理解能力，问题解决能力。


【加分项】：

▪ 有优质技术博客、GitHub 积极贡献者优先；

▪ 具备大数据技术使用或开发经验者优先。


【公司福利】：

▪ 有竞争力的薪酬：工资、一年一次调薪机会、五险一金、商业保险、季度奖金包、年终奖、节假日福利、生日礼物等。既有情怀，又有钱途；

▪ 合理的工作时间：我们有弹性工作时间制度，并追求使用技术去高效解决问题，不提倡加班；

▪ 团队活动：YiMBA系列课程、每周的篮球和羽毛球运动，每周分享会，每月聚餐、生日会等。我们是一个有凝聚力的团队；

▪ 年度体检：豪华体检，健康强壮的身体是工作的基础；

▪ 零食饮料：不间断的供应丰富优质的零食饮料；

▪ 年度旅游：前脚去巴厘岛后脚去日本韩国，随着团队的壮大，以后能去的地方更丰富多彩；

▪ 舒适的工作环境：我们有一个漂亮的办公室，开放式的设计和十分开阔壮观的窗景



        
    
                工作地址
        
                                                深圳 -
                    南山区 -
                    科技园
                                            - 科技园南科苑南路3099号中国储能大厦47楼
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        蓝叔
                                                                
                                        
                    
                    
                    
                    
                
                 HR 
                
                刚刚活跃
                            
                                                
    ",一面数据,"移动互联网,数据服务",A轮,50-150人,https://www.yimian.com.cn
15k-25k·13薪,产品工程师-Python,"
                    15k-25k·13薪 
                    /北京 /
                    经验1-3年 /
                    本科及以上 /
                    全职
                ",豆瓣子公司、期权、补充医保、年假+全薪病假,"北京 -
                    朝阳区 -
                    酒仙桥
                                            - 酒仙桥路
                                                            查看地图","
        职位诱惑：
        豆瓣子公司、期权、补充医保、年假+全薪病假
    
        职位描述：
        
        职位描述：

- 负责豆瓣阅读网站各栏目及移动 App 的后端开发工作，主要编程语言是 Python
- 参与产品设计，与前端工程师、移动端工程师一同探讨技术方案
- 持续改进现有代码以应对日益增长的多样化需求

职位要求：

- 具备良好的计算机基础知识，了解常用的数据结构和算法
- 至少掌握一门编程语言，如：Python, Ruby, Go 等；熟悉常用的 Web 框架
- 熟悉关系／非关系型数据库的使用，了解基本的设计、优化原则
- 熟悉 Linux 的使用和管理，了解操作系统相关知识
- 具备一定的持续测试、集成、部署实践经验
- 热衷于性能分析与调优，勇于面对技术挑战

优先条件：

- 对开源软件、敏捷开发方法有特别兴趣，开源社区贡献者
- 具备前端开发能力，了解 HTML / CSS / JavaScript
        
    
                工作地址
        
                                                北京 -
                    朝阳区 -
                    酒仙桥
                                            - 酒仙桥路
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        豆瓣阅读 HR
                                                                
                                        
                    
                    
                    
                    
                
                 职位发布者 
                
                刚刚活跃
                            
                                                
    ",豆瓣阅读,文娱丨内容,A轮,15-50人,https://read.douban.com/
15k-25k,python后端,"
                    15k-25k 
                    /上海 /
                    经验1-3年 /
                    本科及以上 /
                    全职
                ",阿里云投资、对标欧美企业福利、扁平化管理,"上海 -
                    闵行区
                                            - 东川路555号4号楼5楼
                                                            查看地图","
        职位诱惑：
        阿里云投资、对标欧美企业福利、扁平化管理
    
        职位描述：
        
        岗位职责：
负责云计算后台IaaS开发工作
根据需求，实现IaaS存储、网络、虚拟化相关功能

岗位要求：
211、985本科/硕士，通信、计算机等相关专业全日制本科学历；
熟悉Linux，熟悉网络、存储、虚拟化相关子系统者优先；
熟悉虚拟化、云计算、计算机网络、操作系统基本原理。
        
    
                工作地址
        
                                                上海 -
                    闵行区
                                            - 东川路555号4号楼5楼
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        吉
                                                                
                                        
                    
                    
                    
                    
                
                 HRM 
                
                今日活跃
                            
                                                
    ",ZStack,"数据服务,信息安全",B轮深创投领投、前海母基金、联新资本跟投，此前A轮投资方阿里云、小苗基金继续跟投(B轮)，阿里巴巴（中国）网络技术有限公司(A轮),150-500人,http://www.zstack.org.cn/
5k-9k,Python答疑老师,"
                    5k-9k 
                    /南京 /
                    经验不限 /
                    学历不限 /
                    全职
                ","福利好,团队棒,个人成长快","南京 -
                    玄武区
                                            - 徐庄软件园
                                                            查看地图","
        职位诱惑：
        福利好,团队棒,个人成长快
    
        职位描述：
        
        关于扇贝团队：
扇贝是国内知名的在线学习平台，已经拥有过亿用户，同时持续盈利。我们在分布式架构，自然语言处理等技术方面也有长期积累，结合精良的内容制作，能够为用户提供独特和优秀的产品服务。
- 我们会有各种分享会，产品、设计、技术、运营、英语大家一起交流；
- 我们有一个专门的活动室，工作之余可以与小伙伴一起健身、运动；
- 我们每天提供下午茶；
- 我们提供人体工程学座椅， 办公电脑是Mac。

岗位描述：1.负责扇贝编程社群答疑，包括：Python 基础语法、Python 网络爬虫等课程的问题；2.积极快速地解决学员的课程疑问，帮助用户学好编程；3.帮学员解决课程疑问的同时，对常见错误、疑问进行总结和整理，反馈给课程老师；4.对学员负责，与团队一起完善产品、课程，提高学员编程能力。
岗位要求：1.本科以上学历，计算机、软件工程等相关专业为佳，有编程经验优先；2.熟悉 Python，遇到 Python 程序报错能找出原因并独立解决；3.学习能力强，能快速掌握课程内容（比如爬虫课）并能指导他人。对爬虫了解的优先；4.有责任心，对学员有耐心，具有亲和力；5.抗压能力强、逻辑思维清晰，有良好的团队协作、沟通表达能力。注：有其他编程语言经验也行，公司提供免费 Python 学习课程。
        
    
                工作地址
        
                                                南京 -
                    玄武区
                                            - 徐庄软件园
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        扇贝
                                                                
                                        
                    
                    
                    
                    
                
                 HR 
                
                今日活跃
                            
                                                
    ",扇贝,"移动互联网,教育",B轮,150-500人,http://www.shanbay.com
15k-30k,前端WEB研发工程师（Python）,"
                    15k-30k 
                    /北京 /
                    经验3-5年 /
                    本科及以上 /
                    全职
                ",大数据 多绩效,"北京 -
                    朝阳区 -
                    望京
                                            - 望京保利国际广场T1
                                                            查看地图","
        职位诱惑：
        大数据 多绩效
    
        职位描述：
        
        工作职责：
负责基于Python开发的前端WEB产品的设计、开发等工作。

工作要求：
1、 计算机或相关专业本科以上学历，3年以上开发经验；
2、 熟练掌握主流的Python WEB开发框架，如Django、flask等
3、 有CherryPy开发经验更佳；
4、 有钻研精神，态度积极，自我驱动。

        
    
                工作地址
        
                                                北京 -
                    朝阳区 -
                    望京
                                            - 望京保利国际广场T1
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        NANA
                                                                
                                        
                    
                    
                    
                    
                
                 人力资源经理 
                
                当前在线
                            
                                                
    ",柏睿数据,"数据服务,信息安全",B轮国科嘉和、蓝驰创投、信中利、浦发硅谷银行(B轮)，蓝驰创投(天使轮),50-150人,http://www.boraydata.cn
20k-40k,高级Python工程师,"
                    20k-40k 
                    /深圳 /
                    经验5-10年 /
                    学历不限 /
                    全职
                ","弹性工作,股票期权,奖金丰厚,福利待遇好","深圳 -
                    南山区
                                            - 卓越后海中心
                                                            查看地图","
        职位诱惑：
        弹性工作,股票期权,奖金丰厚,福利待遇好
    
        职位描述：
        
        岗位职责：
1、负责现有大数据产品维护和开发，包括但不限分布式离线调度系统、数据可视化产品
2、负责新领域产品的后端架构设计、开发、优化

任职要求：
1、计算机及相关专业，本科及以上学历，5年及以上全职开发工作经验；
2、扎实的编程基础，良好的代码风格，熟悉设计模式、数据结构和算法；
3、精通Python编程，对Django或Flask有深入了解，有celery使用和调优经验；
4、熟悉MySQL，有一定的数据库调优经验；
5、熟悉并发编程、网络、分布式架构、缓存等技术;
6、熟悉Hadoop生态组件，对hdfs/hive/spark/sqoop有一定的使用和调优经验；
7、需要具备较强的责任感和主动性，良好的沟通能力、团队协作精神；
        
    
                工作地址
        
                                                深圳 -
                    南山区
                                            - 卓越后海中心
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        吴
            
                        
                
                                        吴挺建
                                                                
                                        
                    
                    
                    
                    
                
                 招聘经理 
                
                今日活跃
                            
                                                
    ",OPPO,硬件,不需要融资,2000人以上,http://www.oppo.com
13k-18k,DevOps 开发工程师（Python）,"
                    13k-18k 
                    /深圳 /
                    经验1-3年 /
                    本科及以上 /
                    全职
                ",AI+大数据；氛围活跃；周末双休；,"深圳 -
                    南山区
                                            - 科技园中区长园新材料港10栋一楼
                                                            查看地图","
        职位诱惑：
        AI+大数据；氛围活跃；周末双休；
    
        职位描述：
        
        1、负责 NLP 模型服务框架维护、部署落地、稳定运行；
2、持续完善 CI/CD 流程，系统监控；
3、定位分析系统性能瓶颈，改善提升系统性能；
4、合理规划使用服务器资源；
5、提升团队整体效能。

任职要求：
1、全日制本科以上、计算机相关专业，1年以上DevOps 开发经验；
2、熟练使用 Python、shell，熟悉 Linux 操作系统；
3、熟悉 Docker、k8s 容器集群技术，了解其设计原理，有相关实践经验优先；
4、熟悉 ElasticSearch、Logstash、Kafka、Prometheus、Grafana，有相关实践经验优先；
5、了解 Java、Spring、MySQL、MongoDB、Redis。

我们更期望你拥有如下品质：
1、对系统架构有认识、有见解、有兴趣；
2、具有良好的代码品味；
3、乐于分享技术，协助团队成员；
4、实事求是，理性，讲逻辑，喜欢用数据说话。
        
    
                工作地址
        
                                                深圳 -
                    南山区
                                            - 科技园中区长园新材料港10栋一楼
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        胡颖
                                                                
                                        
                    
                    
                    
                    
                
                 HR 
                
                今日活跃
                            
                                                
    ",八爪鱼,数据服务,A轮中信资本(A轮)，协同创新资本(A轮)，北京拓尔思信息技术股份有限公司(天使轮),50-150人,http://www.bazhuayu.com
15k-30k,后端开发工程师（python),"
                    15k-30k 
                    /北京 /
                    经验1-3年 /
                    本科及以上 /
                    全职
                ",精准医疗独角兽企业,"北京 -
                    海淀区 -
                    牡丹园
                                            - 花园东路11号泰兴大厦
                                                            查看地图","
        职位诱惑：
        精准医疗独角兽企业
    
        职位描述：
        
        岗位职责：
理解精准医疗业务场景，负责产品后端服务以及数据库的设计开发；
设计实现医疗数据的权限和存储，保证服务的高可用和稳定性；
为辅助临床决策，负责医疗数据相关的处理和计算流程开发。

任职要求：
有扎实的算法功底和代码实现能力；
1-5年及以上后端服务研发经验，使用Node.js/Python最佳，其他语言也可以考虑，但最好对pyhton有一点了解；
了解HTTP协议以及Restful-API相关知识；
熟悉Mongodb/Postgrsql/MySql等数据库开发；
了解机器学习的基础知识和算法应用；
熟悉GitFlow工作流程，规范的进行CodeReview；
对生命科学以及医疗领域感兴趣，有着较强的自我驱动能力去学习了解业务相关知识。

加分项：
熟悉阿里云/AWS等公有云的计算和存储服务；
在医疗和生命科学领域有从业经验或者背景知识。
        
    
                工作地址
        
                                                北京 -
                    海淀区 -
                    牡丹园
                                            - 花园东路11号泰兴大厦
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        秋艺
                                                                
                                        
                    
                    
                    
                    
                
                 招聘经理&HRBP 
                
                当前在线
                            
                                                
    ",GeneDock,"医疗丨健康,数据服务",B轮行业投资人(天使轮)，经纬中国(A轮),15-50人,https://genedock.com
10k-18k·15薪,【校招】Python开发工程师 (M...,"
                    10k-18k·15薪 
                    /北京 /
                    经验应届毕业生 /
                    本科及以上 /
                    全职
                ",七险一金 上市公司 网络安全领航者,"北京 -
                    海淀区 -
                    珠江新城
                                            - 京市海淀区东北旺西路8号中关村软件园21号楼启明星辰大厦
                                                            查看地图","
        职位诱惑：
        七险一金 上市公司 网络安全领航者
    
        职位描述：
        
        岗位职责：
1、参与自动化渗透工具产品研发的全流程，包括产品调研、需求分析、设计评审，制定测试计划、设计和执行测试用例，进行缺陷跟踪和软件质量分析等； 
2、参与自动化渗透工具的研究与开发工作；
3、负责安全技术研究及相关工具开发。

任职资格：
1.信息安全、计算机、软件相关专业等相关专业； 
2.具备Shell、Python或其他编程语言开发能力； 
3.熟悉tcp/http/ssl/websocket相关技术原理；
4.有漏洞利用/验证、渗透测试等安全知识背景优先；
5.具备快速学习能力和良好的沟通能力，具备一定的安全研究能力。
        
    
                工作地址
        
                                                北京 -
                    海淀区 -
                    珠江新城
                                            - 京市海淀区东北旺西路8号中关村软件园21号楼启明星辰大厦
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        Sunny
                                                                
                                        
                    
                    
                    
                    
                
                 招聘经理 
                
                刚刚活跃
                            
                                                
    ",启明星辰,信息安全,上市公司启明星辰与网御星云合并(上市公司),500-2000人,http://www.venustech.com.cn/
